-,-,-
184, -613, 884
223, -659, 868
229, -702, 807
229, -702, 807
261, -764, 773
248, -842, 767
251, -951, 807
313, -1029, 767
317, -962, 668
239, -1034, 870
159, -1252, 1020
111, -1272, 1096
70, -1242, 1098
70, -1242, 1098
1, -1262, 953
-66, -1285, 884
-105, -1138, 852
-120, -921, 748
-142, -729, 621
-178, -647, 444
-232, -636, 278
-232, -452, 284
-198, -195, 343
-127, -89, 323
-127, -89, 323
157, 209, 332
145, 103, -1
307, 563, 1
142, -186, 347
142, -186, 347
223, -305, 442
420, 46, 514
582, 222, 787
676, 119, 837
712, -42, 915
712, -42, 915
-,-,-
91, -813, 733
91, -813, 733
102, -910, 856
66, -1114, 869
18, -1208, 602
-23, -1268, 631
-42, -1318, 695
-132, -1469, 508
-234, -1427, 597
-271, -1259, 685
-281, -1015, 675
-281, -1015, 675
-296, -977, 657
-311, -1006, 606
-299, -936, 605
-250, -801, 525
-188, -713, 417
-101, -608, 326
-1, -494, 263
95, -228, 152
214, 76, 193
214, 76, 193
359, 314, 368
437, 346, 411
457, 236, 477
521, 203, 482
521, 203, 482
569, 132, 435
579, -42, 363
605, -327, 428
598, -489, 503
585, -762, 647
585, -762, 647
-,-,-
-119, -821, 838
-83, -1001, 867
-204, -1177, 752
-177, -1232, 928
-155, -1131, 981
-158, -1197, 935
-163, -1437, 821
-144, -1537, 699
-92, -1316, 830
-14, -1319, 942
-74, -1496, 711
-119, -1543, 631
-133, -1344, 668
-133, -1344, 668
-161, -1131, 666
-192, -942, 482
-229, -836, 631
-278, -819, 511
-279, -651, 328
-270, -614, 339
-260, -714, 309
-172, -622, 155
-77, -522, 40
34, -277, 95
34, -277, 95
148, -85, 234
199, -86, 312
280, -140, 437
372, -117, 448
409, -26, 400
409, -26, 400
456, 73, 461
535, 63, 511
603, 7, 538
603, 7, 538
677, 62, 595
745, 16, 689
756, -171, 809
756, -171, 809
749, -480, 936
-,-,-
393, -651, 773
445, -801, 914
467, -850, 691
498, -807, 663
498, -807, 663
555, -718, 825
608, -759, 838
698, -813, 898
755, -840, 853
785, -771, 867
807, -726, 894
807, -726, 894
821, -695, 964
836, -611, 994
839, -510, 910
828, -455, 923
772, -465, 911
722, -458, 928
699, -262, 900
699, -262, 900
634, -185, 842
539, -277, 739
488, -333, 655
455, -231, 543
442, -67, 449
390, -17, 423
390, -17, 423
304, -99, 391
233, -211, 308
191, -202, 320
140, -116, 375
56, -127, 295
56, -127, 295
-17, -218, 259
-93, -304, 316
-163, -375, 332
-255, -468, 213
-329, -648, 159
-379, -912, 262
-319, -1065, 608
-249, -1205, 767
-,-,-
459, -520, 789
467, -684, 715
467, -684, 715
515, -627, 670
555, -669, 737
610, -759, 762
718, -697, 749
775, -670, 810
838, -743, 986
838, -743, 986
899, -670, 1111
991, -511, 1180
1003, -540, 1117
949, -584, 1058
920, -393, 984
908, -187, 1022
856, -37, 999
769, 22, 909
769, 22, 909
642, -8, 803
530, 46, 625
418, 84, 426
418, 84, 426
-122, -345, -2
-263, -246, -420
-122, 466, 78
70, 829, 734
97, 524, 716
97, 524, 716
0, -82, 309
-100, -510, 72
-62, -587, 36
-14, -508, 365
-14, -508, 365
-83, -678, 607
-109, -856, 1015
-128, -1022, 1065
